Main_FPI,Related_FPI,Score,Direction,Necessity,Context_Usage,Extracted_Context_From_Related_FPI,Why_It_Is_Needed_For_Testcase_Generation,Confidence,Evidence
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/2xA2B_Audio_Layout/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/A2B_Audio_Layout/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/AUD-0_Audio_System_Introduction/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/AUD-1_Audio_System_State_Machine/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Audio_&_Sound_processing/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Audio_Components/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Audio_Layout/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Base_Audio_Layout_(nice_to_have)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Early_Audio_Requirements/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Audio_Source_Definition_&_ChannelÂ Allocation_Audio_Streams/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Ferrari_Audio_Director_Introduction/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0__Audio_Source_Definition_&_ChannelÂ Allocation_Audio_Streams/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Â Audio_Channels_Definition/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Â Audio_Source_Definition_&Â Channels_Allocation/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0_Â Audio_Stream_Interfaces/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0Â Audio_Channels_Definition/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0Â Audio_Source_Definition_&Â Channels_Allocation/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-0Â Audio_Stream_Interfaces/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-1_Audio_Channels_Interaction/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-2_Audio_Channels_Control/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-2_Audio_Channels_Control_-_Min_Switch-On_Volume/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/FAD-7_Flat_Audio_Calibration/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Hybrid_Audio_Layout_(nice_to_have)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/IOCÂ Audio_System_State_Machine/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Media_Sources/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Audio/Navigation_and_Traffic_announcement_Sources/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/Bluetooth_chipset(controller)_requirements/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/Bluetooth_Core/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/Bluetooth_Link_Control/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/General_Apple_device_connectivity/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/PHN-5_Bluetooth_Device_Information/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Connectivity/WiFi_Certification/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Bluetooth_Devices/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Bluetooth_MAC-address_(Bluetooth_Device_Adress)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Calibrazione_GPS/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Connected_Bluetooth_Devices/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Connected_Bluetooth_device_1/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Coupled_Bluetooth_Devices/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Flat_Audio_Calibration_($0529)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Flat_Audio_Calibration_(0xD85054)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Date_of_production_($FE63)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_HW_Version_($TBD)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Image_Delay_(0x910332)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Image_Freeze_(0x91032A)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Image_Out_of_Order_(0x910328)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Internal_Temperature_($FE65)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Intrinsics_parameters_($FE64)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_No_Stream_(0x9103,_0x06)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Over_Temperature_(0x9103,_0x98)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Over_Voltage_(0x9103,_0x17)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Part_Number_($TBD)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Power_Off_(0x9103,_0x31)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-_Serial_Number_($FE60)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Front_Camera_-Â Blinded_(0x9103,_0x86)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/GPS_-_Date_and_time/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/GPS_-_Satellites_(SN)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/GPS_-Â Position/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/GPS_Antenna_Open_Circuit_(0x9022,_0x13)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/GPS_Antenna_Short_to_Ground_(0x9022,_0x11)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/GPS_Module_Internal_Error_(0x9043,_0x96)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Invalid_Proxi_Audio_Level_(0xD85205)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Last_coupled_Bluetooth-Telephone_(paired)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Date_of_production_($FE6F)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_HW_Version_($TBD)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Image_Delay_(0x910532)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Image_Freeze_(0x91052A)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Image_Out_of_Order_(0x910528)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Internal_Temperature_($FE71)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Intrinsics_parameters_($FE70)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_No_Stream_(0x9105,_0x06)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Over_Temperature_(0x9105,_0x98)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Part_Number_($TBD)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Power_Off_(0x9105,_0x31)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-_Serial_Number_($FE6C)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-Â Blinded_(0x9105,_0x86)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Left_Camera_-Â Over_Voltage_(0x9105,_0x17)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/MAXRADIOFAVORITES_($052C)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Navigation_Database_-_Map_versions/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Navigation_Database_â€“_Active/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/NCL_-_Node_Absent_(0xD708,_0x87)_-_ClimateÂ Node/",-2,Upstream,High,Precondition; Setup,"HVAC power consumption, climate control status",Climate system significantly impacts energy consumption shown in Energy Manettino,Confirmed,Major energy consumer dependency
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/NCL_-_Node_Faulty_(0xD708,_0x86)_-_ClimateÂ Node/",-2,Upstream,High,Precondition; Setup,"HVAC power consumption, climate control status",Climate system significantly impacts energy consumption shown in Energy Manettino,Confirmed,Major energy consumer dependency
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/NSP_Node_Absent_(0xD718,_0x87)-_ParkingÂ SensorÂ Node/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/NSP_Node_Faulty_(0xD718,_0x86)-_ParkingÂ SensorÂ Node/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Parking_Cameras_Image_Acquisition_(0xFFA0)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,"SRS Export/SRS Export/SRS_Diagnostics/Radio_Module_-_Node_Internal_error_(missing_communication_with_module)_(0x9047,_0x96)/",-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Radio_Source_Control_($5035)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
SRS Export/SRS Export/SRS_HMI Software/VFI-F164_Energy_Manettino/,SRS Export/SRS Export/SRS_Diagnostics/Rear_Camera_-_Date_of_production_($FE69)/,-1,Upstream,Low,Constraint,Optional system power consumption,Feature may contribute to overall energy consumption shown in Energy Manettino,Probable,Minor energy consumer
